#survey 10-12.08.2013. Куприч Павел. Горбачёва Ольга.
#end_survey

#from_to
#walls_from

#data_order Az An L
#surface
0      0.1     180     0    12.6    #com 1
0      0.2     148     0    16
0      0.3     130     0    17.3
0      0.4     106     0    11.4
0      0.5      80     0    10.8
0      0.6      60     0    11.3
4      4.11    233     0     5
4      4.12    190     0    10
4      4.13    154     0    11.3
4      4.14    118     0    10
6      6.11    222     0     3.55
6      6.12    180     0    10.3
6      6.13    145     0     7.3
6      6.14     85     0     4.7
8      8.11    198     0     3.2
8      8.12    173     0    10.7
8      8.13    100     0     7.7
11    11.11    188    33     5.5
11    11.12    243     0     6
11    11.13    313   -21     5.35
11    11.14    326   -23     5.55
11    11.15     60     0     1.3
#end_surface

#data_order Az An L
0     1    133    -35.1    2.17
1     2      0    -90      1.27
2     3     92    -64.5    4.08
4     5    200     -6.1    1.23
5     6      0    -90      5.12
6     7      0    -90      4.46
7     8    250    -25      1.7
8     9      0    -90      7.31
9     10   276      0      0.85
10    11     0    -90      8.21
47    48     0    -90      2.56
49    50     0    -90      6.7

#data_order Az An L l r u d
3     4         72     -8       3.79     -    12.4     -     1.6
11    12        27    -31.1    12.55    4.15   0.8    0      0
12    12.1      28      0       2.6     0      0.4    1      1.1
13    11       151     38.6     7.91    0.4    4.55   0.5    1.3
13    R2       254    -28.8     5.56    1.55   0      5.8    1.3
R2    14         0    -90       2.9     0      0     16.3    2.9
14    15        31    -23.5     3.39    0.5    0     19.2    0
15    16        99    -42.8     3.7     1.1    0.9    0      0.6
16    17         0    -27       6.86    1.3    0.7    0.8    0
14    18       159    -11.6     7.06    0      0.4    19.2   0
18    18.1     199     15.4     9.3     5      2.5    2.15   0
17    19         0     90       4.2     1.6    0.5    4.2    1.4
20    19       152     -2.2     2.57    1.5    0.5    0      1.2
20    21        36     -3.9     1.45    0.5    1.5    0      1.2
21    22         0    -90       3.82    0      0      4.1    3.82
21    21.11     26      0       0       1.9    0      4.1    3.8
22    23        21     -9.1     1.44    1.4    2      3.82   1.1
23    24         0    -90       6.17    0      1.6    2.4    6.17
24    24.1      51     28       3.28    1.9    3.7    8.57   0
24    25       234    -21.1     1.66    3.7    1.9    8.57   0
25    26       117    -52       3.74    0.8    0.6    2.2    0.8
26    27        41    -41.6     1.46    0.8    0.2    1      0.2
27    28        12    -13.8     5.88    0.7    0.7    0.4    0.3
28    29        47      2.7     1.25    0.8    0.55  -0.6    0
29    30         0    -90       1.11    0.55   0.5    0.5    1.1
30    31       357     -3.8     3.58    0.3    0.4    0.9    0
31    32         0    -90       2.53    0.5    0.7    0.7    2.53
32    33       324     26.5     1.52    1.2    0.6    3.23   0
33    34         0    -90       7.71    0      2.05   1.24   7.71
34    35        16    -28.5     3.15    1.3    0.3    7.71   0.9
35    36         0    -90       1.31    0.9    1.5    8.83   1.31
36    37       344     11.9     1.87    0.5    1.3    4.2    0
37    38       322    -38.6     2.08    0.3    0.2    0      1
38    39         0    -90      11.05    0      0.3    0.1   11.05
39    39.1     213    -50       3.8     0      1.2    11.05  1.3
40    39       181    -43       1.23    0.8    1.4    10.3   2.25
40    41        55     -3.5     1.89    1.5    0.6    10.3   2.25
41    42         0    -90       4.1     0      0.7    2.9    4.1
42    43       283    -23.4     1.61    0.5    0.9    7      0
43    44         0    -90       8       0.9    2      1.8    8
43    43.1      77      0       1.9     0.8    0.8    7      0
44    45       174     -3.2     4.96    0.5    0.5    9.8    0
45    46         0    -90       1.57    0      0.4    0.4    1.57
46    47       237     -1.1     0.51    0.3    0.8    1.57   0
48    49       131    -22.6     2.13    1.4    0.5    2.56   0
50    51       159      2       1.89    0.8    0.4    6.7    0
51    51.1     194      0       1.87    0      0.7    6      3.56
51    52         0    -90       3.56    0      0.7    6      3.56
52    53       204     20.2     2.54    0      0.3    3.56   0
53    54         0    -90       2       0.4    3.2    3.3    2
54    55       295    -30.4     4.07    0.8    2.4    5.3    0
55    56       148      2.4     2.32    1.3    0.7    0.3    0.7
56    57       180    -77      12       0.5    1      7.4    2.25
58    17       313    -42       2.82    4.4    0.5   16      1.8
